,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
comt-1,0.0002867530310024,0.0029310686355037,-1.85883622148484,-13.5439611873103,7,2,0.57910964766147,0,0,0,0.0015250782128687,0.0450376653825413,0.0154631278615312,0.0721578555019422,False,False,False
F53B3.3,0.134570880795599,0.389262818301368,-26.445861928811,-30.6557219914053,7,2,15.5734294320897,0,0,0,0.536829756197272,1.0,0.0665073374954421,0.223911148902622,False,False,False
F53B3.5,0.130637430309999,0.380536105294251,-46.3232729127111,-50.5744472070407,7,2,217.703304532481,0,0,0,0.738196600037692,1.0,0.0482267308725435,0.175455807473408,False,False,False
F53B3.6,0.0120958934135929,0.0647008834506544,-12.427449096664,-19.7394344915212,7,2,4.20468287138788,0,0,0,0.491928896530776,1.0,0.0042133632677988,0.0252123085579689,False,False,False
fbxb-103,0.679276936684646,0.999999378271023,-28.3187106383507,-29.8859016388636,7,2,14.7649946497809,0,0,0,0.95406435987861,1.0,0.385448220933025,0.774738300824517,False,False,False
F53C3.3,0.926933952425253,0.999999378271023,-47.4671170740505,-48.1550547312052,7,2,136.67000820741,0,0,0,0.511449762343304,1.0,0.998286684985797,0.999999999918703,False,False,False
F53C3.4,0.0915933436199016,0.298943731453996,-39.4335709216408,-44.170480333018,7,2,103.728570722431,0,0,0,0.0889407276093433,0.530932153803574,0.200623676504609,0.502306459301004,False,False,False
F53C3.5,0.884882061087514,0.999999378271023,-34.4277326520328,-35.2935829819266,7,2,27.3568413629168,0,0,0,0.437197485689933,1.0,0.994451029512087,0.999999999918703,False,False,False
F53C3.6,0.0005155818775779,0.0048976808774501,-24.221082513347,-35.2387050691135,7,2,23.4892930850663,0,0,0,3.1403694822778e-05,0.002296862985069,0.729590211992047,0.999999999918703,False,False,False
F53C3.7,1.38500123772613e-06,2.74759756396231e-05,-22.2456663993378,-39.8358067122396,7,2,9.1450644069621,0,0,0,0.0024900959673617,0.0622127339385447,3.68733087420367e-05,0.0004490971753257,False,True,False
F53C3.8,0.0211977904914314,0.0991477834914,-1.71297391539804,-8.33489374826801,7,2,0.351641481222378,0,0,0,0.0276656467026113,0.284793221739716,0.108314673364713,0.322635562189552,False,False,False
F53C3.11,0.0023440256211089,0.0174501598726765,-16.2950514954931,-25.5632877862166,7,2,3.58986708504063,0,0,0,0.0013164154753125,0.0408407051637614,0.153009249161856,0.413322825229209,False,False,False
