,avg
Y73B6BL.27,3.1995411
his-69,4.790297649999999
F09B9.4,4.1455478
Y43F8C.3,0.2645150000000003
ZK287.3,5.554463999999999
ugt-46,7.3591484000000005
fip-3,4.68425125
C18A11.1,3.3641368500000004
H24G06.1,2.255021
atat-2,7.0004031499999995
acr-15,4.1174388
alh-3,1.9686998500000001
asp-1,2.59217693
atn-1,2.9072033499999996
cka-2,4.3496938
col-63,4.7417678500000005
col-104,2.235396185
col-113,3.0217947
dyf-6,1.6009525500000001
alp-1,3.13091045
flp-13,1.9654939999999999
flp-19,2.398921
gst-4,7.38775
hsp-12.3,4.80847635
lec-6,1.9582534799999998
let-756,3.54607075
mlc-1,3.4085785
mrp-6,3.81505465
nas-12,1.9304564000000002
ncs-3,2.7352343
nhr-1,1.85693
nnt-1,2.8644451500000003
asns-1,3.4545647
pbo-1,0.24075049999999987
ptl-1,-0.36431749999999985
slo-2,1.7213514
sma-5,2.1336075
sng-1,2.0891485000000003
spp-1,2.67261018
spp-5,2.5433214
srx-45,2.37237285
sto-2,3.2234909999999997
sto-4,3.8611999999999997
tni-3,2.951631
tsp-8,3.7237715000000007
unc-52,3.0042386
unc-80,0.41093250000000037
unc-93,2.5537785
C07A9.5,4.8584281
gpx-3,9.67502185
C13C4.7,2.98778141
C33B4.4,4.5777469
acox-1.5,3.1910599
rin-1,2.6973336999999997
C51E3.9,4.1408295
F02D8.4,6.4497279999999995
F22B5.4,1.2792895
