,t1,t2,avg
cpz-2,155.000000,450.000000,302.5
crb-1,390.00000,450.00000,420.0
crh-1,5.100000e+02,5.750000e+02,542.5
crn-1,212.50000,270.00000,241.25
crn-2,155.0000,650.0000,402.5
crn-3,155.0000,212.5000,183.75
crn-4,155.000000,212.500000,183.75
crn-5,155.0000,390.0000,272.5
crn-6,212.500000,270.000000,241.25
cars-1,330.0000,450.0000,390.0
crt-1,390.000,650.000,520.0
csb-1,1.550000e+02,6.500000e+02,402.5
csc-1,330.00000,650.00000,490.0
csk-1,390.0000,650.0000,520.0
csn-1,155.00000,390.00000,272.5
csn-2,450.0000,650.0000,550.0
csn-3,212.5000,330.0000,271.25
csn-4,212.5000,450.0000,331.25
csn-5,575.00000,650.00000,612.5
csn-6,212.5000,650.0000,431.25
csp-1,3.900000e+02,4.500000e+02,420.0
csp-2,1.550000e+02,5.750000e+02,365.0
csq-1,212.631615,509.868385,361.25
ctb-1,155.000,390.000,272.5
ctl-1,5.100000e+02,5.750000e+02,542.5
ctl-2,155.000000,510.000000,332.5
ctn-1,155.00000,390.00000,272.5
cts-1,212.500,575.000,393.75
cua-1,212.50000,650.00000,431.25
cuc-1,450.00000,650.00000,550.0
cul-1,155.00000,575.00000,365.0
cul-2,575.0000,650.0000,612.5
cul-3,390.00000,650.00000,520.0
cul-4,212.5000,270.0000,241.25
cul-5,155.00000,575.00000,365.0
cul-6,1.550000e+02,4.500000e+02,302.5
cup-2,155.0000,390.0000,272.5
cup-4,212.500000,330.000000,271.25
cup-5,575.00000,650.00000,612.5
cut-1,155.000000,390.000000,272.5
cut-6,5.100000e+02,5.750000e+02,542.5
cux-7,155.0000,450.0000,302.5
cwn-1,270.000,650.000,460.0
cwn-2,212.5000,450.0000,331.25
cwp-2,5.750000e+02,6.500000e+02,612.5
cwp-3,3.900000e+02,4.500000e+02,420.0
cwp-4,1.550000e+02,6.500000e+02,402.5
cya-1,390.0000,575.0000,482.5
cya-2,3.300000e+02,3.900000e+02,360.0
cyb-1,155.0000,330.0000,242.5
cyb-2.1,212.500000,450.000000,331.25
cyb-2.2,155.000000,510.000000,332.5
cyb-3,155.0000,390.0000,272.5
cyc-1,575.0000,650.0000,612.5
cyd-1,212.5000,270.0000,241.25
cye-1,212.50000,270.00000,241.25
cyk-1,330.00000,575.00000,452.5
cyk-3,212.50000,510.00000,361.25
cyk-4,390.0000,650.0000,520.0
cyl-1,330.0000,575.0000,452.5
cyn-1,155.0000,450.0000,302.5
cyn-2,5.750000e+02,6.500000e+02,612.5
cyn-3,390.0000,650.0000,520.0
cyn-4,575.00000,650.00000,612.5
cyn-5,450.000,650.000,550.0
cyn-6,450.0000,575.0000,512.5
cyn-7,390.0000,510.0000,450.0
cyn-8,270.0000,390.0000,330.0
cyn-9,575.00000,650.00000,612.5
cyn-10,330.00000,650.00000,490.0
cyn-11,330.0000,510.0000,420.0
cyn-12,155.0000,330.0000,242.5
cyn-13,390.0000,575.0000,482.5
sig-7,510.00000,575.00000,542.5
cyn-15,390.00000,575.00000,482.5
cyn-16,450.00000,650.00000,550.0
cyn-17,155.000000,575.000000,365.0
dab-1,390.00000,575.00000,482.5
dac-1,510.000000,575.000000,542.5
dad-1,155.0000,390.0000,272.5
daf-1,155.00000,510.00000,332.5
daf-2,510.000000,575.000000,542.5
daf-3,390.0000,450.0000,420.0
daf-4,450.0000,575.0000,512.5
daf-5,390.00000,650.00000,520.0
daf-6,575.000000,650.000000,612.5
daf-7,212.5000000,575.0000000,393.75
daf-8,1.550000e+02,3.900000e+02,272.5
daf-9,5.750000e+02,6.500000e+02,612.5
daf-11,1.550000e+02,6.500000e+02,402.5
