"","x"
"729","ABpxppppap"
"730","Dxpp"
"731","unannotated"
"732","MSxpappa"
"733","MSxpaaap"
"734","MSxapapp"
"735","Cxaaax/Cxaapa"
"736","ABpxappaap"
"737","MSxapaap"
"738","ABpxpppaa"
"739","ABpxapapppp"
"740","Dxppp"
"741","ABalpaapapa/ABaraaapapa/ABalpappppa"
"742","unannotated"
"743","ABalaappa/ABalppaaa"
"744","unannotated"
"745","ABarpapppx/ABplaaappx"
"746","ABpxppaapa"
"747","unannotated"
"748","ABpxaapaap"
"749","ABpxpaapa"
"750","ABpxapppa"
"751","ABpxppappa"
"752","Cxaapp"
"753","ABalapaaaa/ABalappapa"
"754","unannotated"
"755","ABalapxppa"
"756","ABpxpaaapa"
"757","MSaaaapp"
"758","MSxppapp"
"759","MSxapapa"
"760","unannotated"
"761","Cxaaax/Cxaapa"
"762","ABpxapaapp"
"763","ABpxaappaa"
"764","unannotated"
"765","unannotated"
"766","Z2/Z3:pseudotime_bin_2"
"767","unannotated"
"768","Cxpppa"
"769","unannotated"
"770","Eaxpp/Epxap"
"771","Cxppaa"
"772","Cxpaaa"
"773","ABpxpaappp"
"774","unannotated"
"775","ABalpppapa/ABpraaaapa"
"776","unannotated"
"777","unannotated"
"778","unannotated"
"779","MSaaaaaa"
"780","Cxpppp"
"781","ABprpappaa"
"782","unannotated"
"783","unannotated"
"784","ABalppapp/ABarapppp"
"785","Cxpapa"
"786","Cxppaa"
"787","MSxpaa"
"788","Cxaaax/Cxaapa"
"789","ABpxppppaa"
"790","Dxapa"
"791","unannotated"
"792","unannotated"
"793","Cxaapp"
"794","unannotated"
"795","ABarpaaaap/ABarpaaapa"
"796","ABarppxapp"
"797","unannotated"
"798","ABpxppappp"
"799","ABarpaapxx"
"800","ABpxapaaapa"
"801","ABpxppapaa"
"802","unannotated"
"803","ABpxapappa"
"804","MSxppaa"
"805","unannotated"
"806","Dxxa"
"807","unannotated"
"808","unannotated"
"809","unannotated"
"810","ABalppppppp/ABpraaapppp"
"811","Cxaaax/Cxaapa"
"812","ABarpapppx/ABplaaappx"
"813","ABpxpapaap"
"814","MSxppppx"
"815","Dxppa"
"816","ABpxpppap"
"817","unannotated"
"818","ABpxpapaaa"
"819","Cxppa"
"820","ABalaapapp/ABalppaapp"
