Your Input	Sequence Name
nhr-22	K06A1.4
nhr-153	C13C4.1
efl-2	Y48C3A.17
zfp-2	F35H8.3
F10B5.3	F10B5.3
tbx-38	C24H11.3
nhr-102	T06C12.6
nhr-206	R07B7.13
nhr-7	F54D1.4
R05D3.3	R05D3.3
nhr-8	F33D4.1
nhr-60	F57A10.5
nhr-81	C47F8.8
unc-39	F56A12.1
F27D4.6	F27D4.6
hlh-32	Y105C5B.29
unc-130	C47G2.2
R02D3.7	R02D3.7
pbrm-1	C26C6.1
nhr-59	T27B7.1
nhr-32	K08H2.8
madf-9	ZC416.1
rcor-1	Y74C9A.4
ceh-2	C27A12.5
swsn-1	Y113G7B.23
nhr-115	T27B7.4
nhr-158	C17E7.6
moe-3	F32A11.6
lin-26	F18A1.2
egl-18	F55A8.1
ets-7	F19F10.5
tag-68	F37D6.6
ceh-20	F31E3.1
sptf-1	F45H11.1
sta-1	Y51H4A.17
nhr-177	F16B4.1
nhr-79	T26H2.9
tbx-36	ZK829.5
ztf-22	Y48C3A.4
somi-1	M04G12.4
fkh-7	F26D12.1
egl-38	C04G2.7
nhr-214	T07C5.3
nhr-129	C50B6.14
madf-5	C01G12.1
ZK673.4	ZK673.4
ccar-1	Y37A1B.1
nhr-163	C33G8.12
D2030.7	D2030.7
ctbp-1	F49E10.5
C17E4.6	C17E4.6
hlh-10	ZK682.4
nhr-49	K10C3.6
daf-5	W01G7.1
attf-4	C05D10.1
ceh-32	W05E10.3
skn-1	T19E7.2
sox-3	F40E10.2
B0261.1	B0261.1
mml-1	T20B12.6
nhr-236	Y38F2AL.5
spr-4	C09H6.1
nhr-96	F44C8.11
npax-3	R13.2
ZK652.6	ZK652.6
sem-4	F15C11.1
lin-28	F02E9.2
elf-1	Multiple entries : 2
ces-2	ZK909.4
F21D5.9	F21D5.9
dct-13	Y116A8C.17
Y56A3A.28	Y56A3A.28
ceh-31	C33D12.1
dmd-3	Y43F8C.10
dhhc-3	F33D11.12
klf-1	F56F11.3
nhr-18	F44C8.3
C44F1.1	C44F1.1
hlh-4	T05G5.2
cfi-1	T23D8.8
nhr-184	F44C8.9
med-1	T24D3.1
ceh-82	F45C12.2
lsl-1	F52F12.4
nhr-253	ZK6.4
pzf-1	T05G11.1
nhr-65	Y17D7A.3
nhr-143	F59E11.11
R10E4.11	R10E4.11
ada-2	F32A5.1
ztf-30	C06E1.8
nhr-238	Y46H3D.7
nhr-286	VC5.6
nhr-40	T03G6.2
elt-4	C39B10.6
nhr-48	ZK662.3
mcd-1	Y51H1A.6
plp-1	F45E4.2
hlh-16	DY3.3
R144.3	R144.3
hlh-1	B0304.1
hlh-17	F38C2.2
nhr-20	F43C1.4
aptf-3	F28C6.2
nhr-76	C05G6.1
ztf-3	C53D5.4
mig-5	T05C12.6
ceh-21	T26C11.6
lir-1	F18A1.3
eor-1	R11E3.6
hmg-12	Y17G7A.1
nhr-256	ZK697.2
nhr-182	F41B5.9
Y116A8C.19	Y116A8C.19
vab-3	F14F3.1
aptf-4	F28C6.1
ttll-4	ZK1128.6
C35D6.4	C35D6.4
egrh-2	Y55F3AM.7
nhr-31	C26B2.3
mdt-29	K08E3.8
fkh-3	C29F7.4
sdz-12	F12E12.5
nhr-139	C33G8.8
C16A3.4	C16A3.4
sdc-1	F52E10.1
let-381	F26B1.7
nhr-205	R04B5.3
nhr-70	Y51A2D.17
nhr-109	T12C9.5
nfya-2	Y53H1A.5
cdc-5L	D1081.8
zip-6	R07H5.10
nhr-85	W05B5.3
zip-11	W08E12.1
dhhc-4	ZK757.4
nhr-17	C02B4.2
nhr-71	K11E4.5
nhr-252	ZK6.2
Y67H2A.10	Y67H2A.10
nhr-209	R07B7.16
madf-4	T07C12.11
nhr-216	T09D3.4
W02D7.6	W02D7.6
bed-3	F25H8.6
nhr-226	T27B7.3
ngn-1	Y69A2AR.29
hmg-1.1	Y48B6A.14
pax-1	K07C11.1
nhr-35	C07A12.3
lsy-27	F47H4.1
ceh-5	C16C2.1
ets-5	C42D8.4
F37B4.10	F37B4.10
pha-4	F38A6.1
elt-7	C18G1.2
sel-7	K04G11.2
ztf-26	F55H12.6
C04F5.9	C04F5.9
attf-5	T04G9.1
dhhc-7	C17D12.1
zim-2	T07G12.10
nhr-124	C17E7.8
F55B11.4	F55B11.4
gla-3	T02E1.3
hmg-3	C32F10.5
pqn-75	W03D2.1
nhr-106	T01G6.4
hbl-1	F13D11.2
ubxn-1	F23C8.4
egl-13	T22B7.1
T22C8.3	T22C8.3
hizr-1	ZK455.6
ceh-10	W03A3.1
eyg-1	Y53C12C.1
hlh-30	W02C12.3
dmd-9	Y67D8A.3
eya-1	C49A1.4
zip-5	C34D1.5
fkh-6	B0286.5
