,90_160,160_210,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
nhr-17,1098,998,439,938,1517,1238,778,1118,1018,858
nhr-18,30,269,269,299,179,209,1582,3403,2537,1224
nhr-19,126,560,546,868,784,602,1275,1387,1625,2227
nhr-20,1036,743,950,900,1021,1264,1207,964,1079,836
nhr-21,60,120,964,1024,542,783,2048,1988,1807,663
nhr-22,483,1165,852,994,1960,767,426,1023,1222,1108
nhr-23,4352,370,370,278,741,1759,278,833,93,926
nhr-25,1164,1027,1164,205,1301,1096,890,548,1164,1438
nhr-28,2679,1005,2010,766,335,191,766,957,478,813
nhr-31,271,155,1124,1085,388,1705,2171,1085,1124,891
nhr-32,588,282,259,392,415,533,1293,1301,2281,2657
nhr-34,1533,1956,657,672,672,715,1051,613,920,1212
nhr-35,1221,1016,820,771,898,1230,1514,1084,967,479
nhr-38,714,714,714,714,2857,714,1429,714,714,714
nhr-40,268,119,60,149,864,2623,2057,1699,894,1267
nhr-42,545,449,833,1122,417,1378,1538,801,865,2051
nhr-43,1930,1754,526,877,175,526,526,2105,175,1404
nhr-44,159,1905,794,317,1587,794,1270,1270,159,1746
nhr-45,574,952,498,559,498,408,589,1178,2674,2069
nhr-46,1764,1028,1019,950,853,887,945,697,980,877
nhr-47,808,1316,1553,1680,1308,994,867,689,403,380
nhr-48,2525,917,766,879,980,1055,741,1093,804,239
nhr-49,1278,1045,1372,1278,1237,988,964,617,600,621
nhr-50,941,1000,647,1235,1000,294,882,706,1059,2235
nhr-51,769,769,769,769,769,769,2308,1538,769,769
nhr-52,1750,250,250,500,1000,500,1250,1250,750,2500
nhr-53,1714,2286,571,571,1143,857,1143,571,286,857
nhr-54,345,345,345,1034,345,2759,1724,690,345,2069
nhr-55,217,1304,217,217,870,870,217,2174,3261,652
nhr-56,65,92,120,65,28,406,2955,3352,1884,1034
nhr-57,591,358,466,448,591,1254,914,950,1541,2885
nhr-58,31,407,248,336,83,327,2752,3330,1807,679
nhr-59,336,192,1031,1127,1319,2470,1463,600,624,839
nhr-60,2500,357,357,1071,357,357,1429,357,1429,1786
nhr-61,1373,1490,627,549,431,275,392,667,2118,2078
nhr-62,46,228,274,685,91,1005,1324,3242,2237,868
nhr-63,182,727,909,182,727,1091,909,2000,182,3091
nhr-64,1746,1370,1415,1074,1065,689,528,403,636,1074
nhr-65,133,400,533,133,667,1067,933,1467,2267,2400
nhr-66,215,191,659,580,547,1827,2763,1607,965,646
nhr-67,1418,3617,544,875,946,236,875,827,260,402
nhr-68,477,174,412,412,325,933,629,629,2777,3232
nhr-69,283,574,291,491,1814,2887,1764,932,674,291
nhr-70,3340,1324,903,735,609,651,630,693,315,798
nhr-71,907,605,872,623,480,427,1779,1975,1370,961
nhr-74,769,2308,769,1538,769,769,769,769,769,769
nhr-78,1452,1390,1693,1762,1522,908,489,567,62,155
nhr-79,116,349,1744,1744,465,233,465,698,3488,698
nhr-80,185,1111,1481,2407,926,1111,1296,185,1111,185
nhr-81,909,1818,909,909,909,909,909,909,909,909
nhr-84,2052,293,195,163,195,293,2736,1498,1238,1336
nhr-85,196,980,1176,2353,1373,980,2157,392,196,196
nhr-86,2386,1150,1518,1236,846,889,564,260,390,759
nhr-87,210,1261,779,1026,1409,1422,1347,1088,791,667
nhr-88,55,718,884,1768,2265,1602,1436,387,387,497
nhr-89,909,909,909,909,1818,909,909,909,909,909
nhr-90,870,109,1739,1304,109,652,435,1739,326,2717
nhr-91,2424,1929,847,706,188,165,753,541,847,1600
nhr-93,455,455,455,455,455,3182,455,455,455,3182
nhr-94,4595,338,1757,338,338,405,338,1081,743,68
nhr-95,126,350,456,645,1268,2193,1303,953,1135,1570
nhr-96,39,116,78,78,155,271,1163,3372,2403,2326
nhr-97,2983,1271,1160,994,276,442,1050,221,387,1215
nhr-98,5377,283,755,660,94,377,377,472,94,1509
nhr-99,294,294,294,294,1176,294,294,294,5000,1765
nhr-100,58,82,199,105,1105,2304,1474,1883,1427,1363
nhr-101,17,101,134,134,50,386,403,1258,2617,4899
nhr-102,1324,1103,74,368,294,147,2279,956,2206,1250
nhr-103,462,190,109,27,136,190,1984,2609,2337,1957
nhr-104,353,660,568,491,844,2241,3001,1151,192,499
nhr-105,447,379,321,457,457,709,1108,1390,2362,2371
nhr-106,769,769,769,769,769,769,3077,769,769,769
nhr-107,227,455,227,227,227,2045,909,1591,3864,227
nhr-108,263,263,263,789,263,526,526,789,5000,1316
nhr-109,233,2093,465,465,465,698,465,1163,233,3721
nhr-111,270,1081,1351,1081,541,811,541,2162,270,1892
nhr-112,909,909,909,909,909,909,909,909,1818,909
nhr-113,833,1667,833,1667,833,833,833,833,833,833
nhr-114,750,625,625,375,750,750,500,875,1875,2875
nhr-115,1220,732,732,732,244,976,488,488,3171,1220
nhr-116,1149,460,230,115,575,575,230,1264,3448,1954
