,slope,interecept,r,p,std_err,r^2
nhr-13,2.9600783777491884e-05,0.021646361331250384,0.23749253195304482,0.6080935186636287,5.41454035547842e-05,0.056402702733468014
nhr-17,-7.176114303743185e-05,0.06621033112252038,-0.4116556572567607,0.358828072696804,7.104776731770642e-05,0.16946038015149562
nhr-22,8.138285145867794e-05,-0.0036145451820131028,0.5835225302246306,0.16902993277656203,5.065218106896743e-05,0.340498543279755
nhr-28,6.516925607792687e-05,-0.0035046077036758085,0.4567150941198006,0.3029232163426261,5.676929828735303e-05,0.20858867719685834
attf-4,3.344306254977639e-06,0.04104316066721804,0.02711517936685918,0.9539847621367193,5.5137725225686244e-05,0.0007352329520969459
nhr-43,8.417543938859278e-05,-0.013257251716443052,0.46584192986661566,0.2921011337690667,7.150563716481094e-05,0.21700870362185287
ztf-30,5.8378817887030565e-05,0.00632221038646082,0.34224471809076235,0.4524082610157849,7.167728787784346e-05,0.11713144706102539
nhr-152,6.202180665000305e-05,0.005477545557641364,0.33279900426552084,0.4657830684029147,7.859375977283354e-05,0.11075517724012215
nhr-49,0.00011266546536421002,-0.021896930941708033,0.9005509466352356,0.005674356198803927,2.4324146495866642e-05,0.810992007485619
elf-1,4.0783562862218936e-05,0.01101408909140477,0.33390345027154433,0.46421178055245016,5.1488476817755803e-05,0.11149151410324168
flh-2,-1.668280910371868e-05,0.04180050586338295,-0.10932496988114397,0.8155112915433813,6.783500239805963e-05,0.011951949039513037
nhr-78,7.4523976310727106e-06,0.029628185744006004,0.04230689052136076,0.9282418511978211,7.870655362170867e-05,0.0017898729855864049
C50C3.5,7.002349308521718e-05,-0.014712134817227229,0.44814633754328925,0.3132404839089265,6.246792893056853e-05,0.20083513985346374
nhr-86,3.316910205231882e-05,0.020003384714513257,0.20120434203273777,0.6652967345290786,7.221670316837947e-05,0.04048318725282692
nhr-90,7.699963538136373e-05,-0.004218667850064327,0.4404519291645071,0.32263270712405634,7.018967574648197e-05,0.19399790190473598
D2063.1,0.00011882614656619495,-0.019683321970103543,0.8106916178491523,0.0269681206569926,3.83776604681409e-05,0.657220899250876
nhr-97,6.0951740499908116e-05,-0.002447384929240952,0.3793281018660689,0.40134492620931217,6.648917205648301e-05,0.14388980886531474
